Name,MFG,Type,DOF,Reach_m,Payload_kg,Weight_kg,Base_Height_m,Shoulder_Offset_m,Upper_Arm_m,Forearm_m,Wrist_m,Shoulder_Torque_Nm,Elbow_Torque_Nm,Wrist_Torque_Nm,Confidence,Notes
UR3,UR,collaborative,6,0.50,3,11,0.1519,0,0.2437,0.2133,0.1182,56,28,12,high,UR DH: d1=.1519 a2=.24365 a3=.21325 d5=.08535 d6=.0819; wrist=hypot(d5;d6); joint sizes 3/2/1
UR5,UR,collaborative,6,0.85,5,18.4,0.0892,0,0.4250,0.3923,0.1253,150,150,28,high,UR DH: d1=.08916 a2=.425 a3=.39225 d5=.09465 d6=.0823; joint sizes 4/4/2
UR10,UR,collaborative,6,1.30,10,28.9,0.1273,0,0.6120,0.5723,0.1487,330,150,56,high,UR DH: d1=.1273 a2=.612 a3=.5723 d5=.1157 d6=.0922; joint sizes 5/4/3
UR3e,UR,collaborative,6,0.50,3,11.2,0.1519,0,0.2436,0.2132,0.1262,56,28,12,high,UR DH: d1=.15185 a2=.24355 a3=.2132 d5=.08535 d6=.0921
UR5e,UR,collaborative,6,0.85,5,20.6,0.1625,0,0.4250,0.3922,0.1409,150,150,28,high,UR DH: d1=.1625 a2=.425 a3=.3922 d5=.0997 d6=.0996
UR10e,UR,collaborative,6,1.30,12.5,33.5,0.1807,0,0.6127,0.5716,0.1662,330,150,56,high,UR DH: d1=.1807 a2=.6127 a3=.57155 d5=.11985 d6=.11655
UR16e,UR,collaborative,6,0.90,16,33.1,0.1807,0,0.4784,0.3600,0.1662,330,150,56,high,UR DH: d1=.1807 a2=.4784 a3=.36 d5=.11985 d6=.11655
UR20,UR,collaborative,6,1.75,20,64,0.2363,0,0.8620,0.7287,0.2206,738,433,56,medium,UR DH: d1=.2363 a2=.862 a3=.7287 d5=.1593 d6=.1543; joint torque from UR20 spec (approx)
UR30,UR,collaborative,6,1.30,30,63.5,0.2363,0,0.6370,0.5037,0.2206,738,433,56,medium,UR DH: d1=.2363 a2=.637 a3=.5037 d5=.1593 d6=.1543
Franka Panda,Franka,collaborative,7,0.855,3,18.5,0.3330,0,0.3266,0.3927,0.1385,87,87,12,high,Franka DH: d1=.333 d3=.316 a4=.0825 d5=.384 a7=.088 d_flange=.107; upper=hypot(.316;.0825)
LBR iiwa 7 R800,KUKA,collaborative,7,0.80,7,23.9,0.3400,0,0.4000,0.4000,0.1260,176,110,40,high,KUKA DH: d1=.34 d3=.40 d5=.40 d7=.126; J4 110 Nm J6 40 Nm
LBR iiwa 14 R820,KUKA,collaborative,7,0.82,14,29.9,0.3600,0,0.4200,0.4000,0.1260,320,176,40,high,KUKA DH: d1=.36 d3=.42 d5=.40 d7=.126
