Name,MFG,Type,Ratio,Stages,Rated_Output_Torque_Nm,Peak_Output_Torque_Nm,Weight_kg,OD_mm,Length_mm,Cost_USD,Cost_Flag,Notes,Rated_Input_Torque_Nm
CSF-2UH-14-30,Harmonic Drive,harmonic,30.0,1,4.0,17.0,0.52,73,41.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.1333
CSF-2UH-14-50,Harmonic Drive,harmonic,50.0,1,5.4,35.0,0.52,73,41.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.108
CSF-2UH-14-80,Harmonic Drive,harmonic,80.0,1,7.8,35.0,0.52,73,41.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.0975
CSF-2UH-14-100,Harmonic Drive,harmonic,100.0,1,7.8,35.0,0.52,73,41.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.078
CSF-2UH-17-30,Harmonic Drive,harmonic,30.0,1,8.8,30.0,0.68,79,45.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.2933
CSF-2UH-17-50,Harmonic Drive,harmonic,50.0,1,16.0,70.0,0.68,79,45.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.32
CSF-2UH-17-80,Harmonic Drive,harmonic,80.0,1,22.0,87.0,0.68,79,45.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.275
CSF-2UH-17-100,Harmonic Drive,harmonic,100.0,1,24.0,108.0,0.68,79,45.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.24
CSF-2UH-20-30,Harmonic Drive,harmonic,30.0,1,15.0,50.0,0.98,93,45.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.5
CSF-2UH-20-50,Harmonic Drive,harmonic,50.0,1,25.0,98.0,0.98,93,45.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.5
CSF-2UH-20-80,Harmonic Drive,harmonic,80.0,1,34.0,127.0,0.98,93,45.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.425
CSF-2UH-20-100,Harmonic Drive,harmonic,100.0,1,40.0,147.0,0.98,93,45.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.4
CSF-2UH-25-30,Harmonic Drive,harmonic,30.0,1,27.0,95.0,1.5,107,52.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.9
CSF-2UH-25-50,Harmonic Drive,harmonic,50.0,1,39.0,186.0,1.5,107,52.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.78
CSF-2UH-25-80,Harmonic Drive,harmonic,80.0,1,63.0,255.0,1.5,107,52.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.7875
CSF-2UH-25-100,Harmonic Drive,harmonic,100.0,1,67.0,284.0,1.5,107,52.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,0.67
CSF-2UH-32-30,Harmonic Drive,harmonic,30.0,1,54.0,200.0,3.2,138,62.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,1.8
CSF-2UH-32-50,Harmonic Drive,harmonic,50.0,1,76.0,382.0,3.2,138,62.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,1.52
CSF-2UH-32-80,Harmonic Drive,harmonic,80.0,1,118.0,568.0,3.2,138,62.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,1.475
CSF-2UH-32-100,Harmonic Drive,harmonic,100.0,1,137.0,647.0,3.2,138,62.0,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,1.37
CSF-2UH-40-50,Harmonic Drive,harmonic,50.0,1,100.0,500.0,5.0,160,72.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,2.0
CSF-2UH-40-80,Harmonic Drive,harmonic,80.0,1,150.0,700.0,5.0,160,72.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,1.875
CSF-2UH-40-100,Harmonic Drive,harmonic,100.0,1,180.0,800.0,5.0,160,72.5,,,HD CSF-2UH gearhead catalog; mass fixed per size across ratios; OD=øA,1.8
CSF-2UH-LW-14-50,Harmonic Drive,harmonic,50.0,1,5.4,35.0,0.32,73,41.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.108
CSF-2UH-LW-14-100,Harmonic Drive,harmonic,100.0,1,7.8,35.0,0.32,73,41.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.078
CSF-2UH-LW-17-50,Harmonic Drive,harmonic,50.0,1,16.0,70.0,0.46,79,45.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.32
CSF-2UH-LW-17-100,Harmonic Drive,harmonic,100.0,1,24.0,108.0,0.46,79,45.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.24
CSF-2UH-LW-20-50,Harmonic Drive,harmonic,50.0,1,25.0,98.0,0.64,93,45.5,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.5
CSF-2UH-LW-20-100,Harmonic Drive,harmonic,100.0,1,40.0,147.0,0.64,93,45.5,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.4
CSF-2UH-LW-25-50,Harmonic Drive,harmonic,50.0,1,39.0,186.0,1.1,107,52.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.78
CSF-2UH-LW-25-100,Harmonic Drive,harmonic,100.0,1,67.0,284.0,1.1,107,52.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,0.67
CSF-2UH-LW-32-50,Harmonic Drive,harmonic,50.0,1,76.0,382.0,2.2,138,62.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,1.52
CSF-2UH-LW-32-100,Harmonic Drive,harmonic,100.0,1,137.0,647.0,2.2,138,62.0,,,HD CSF-2UH-LW lightweight gearhead; ~30% lighter than standard,1.37
HBK-14-30,PY/Generic CN,harmonic,30.0,1,4.0,9.0,0.68,70,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.1333
HBK-14-50,PY/Generic CN,harmonic,50.0,1,7.0,23.0,0.68,70,,95.0,listed,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.14
HBK-14-80,PY/Generic CN,harmonic,80.0,1,10.0,30.0,0.68,70,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.125
HBK-14-100,PY/Generic CN,harmonic,100.0,1,10.0,36.0,0.68,70,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.1
HBK-17-30,PY/Generic CN,harmonic,30.0,1,8.8,16.0,0.75,80,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.2933
HBK-17-50,PY/Generic CN,harmonic,50.0,1,21.0,44.0,0.75,80,,95.0,listed,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.42
HBK-17-80,PY/Generic CN,harmonic,80.0,1,29.0,56.0,0.75,80,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.3625
HBK-17-100,PY/Generic CN,harmonic,100.0,1,31.0,70.0,0.75,80,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.31
HBK-20-30,PY/Generic CN,harmonic,30.0,1,15.0,33.0,1.32,90,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.5
HBK-20-50,PY/Generic CN,harmonic,50.0,1,33.0,96.0,1.32,90,,133.0,listed,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.66
HBK-20-80,PY/Generic CN,harmonic,80.0,1,44.0,107.0,1.32,90,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.55
HBK-20-100,PY/Generic CN,harmonic,100.0,1,52.0,117.0,1.32,90,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.52
HBK-25-30,PY/Generic CN,harmonic,30.0,1,27.0,51.0,2.0,110,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.9
HBK-25-50,PY/Generic CN,harmonic,50.0,1,51.0,127.0,2.0,110,,162.0,listed,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,1.02
HBK-25-80,PY/Generic CN,harmonic,80.0,1,82.0,178.0,2.0,110,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,1.025
HBK-25-100,PY/Generic CN,harmonic,100.0,1,87.0,204.0,2.0,110,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,0.87
HBK-32-50,PY/Generic CN,harmonic,50.0,1,99.0,250.0,4.0,142,,200.0,listed,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,1.98
HBK-32-80,PY/Generic CN,harmonic,80.0,1,153.0,350.0,4.0,142,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,1.9125
HBK-32-100,PY/Generic CN,harmonic,100.0,1,178.0,400.0,4.0,142,,,,AliExpress HBK/SHF-style harmonic; AIFITLAB datasheet masses; street ~$90–200,1.78
RV-6E-31,Nabtesco,cycloidal,31.0,2,58.0,145.0,2.5,85,105.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,1.871
RV-6E-43,Nabtesco,cycloidal,43.0,2,58.0,145.0,2.5,85,105.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,1.3488
RV-6E-53.5,Nabtesco,cycloidal,53.5,2,58.0,145.0,2.5,85,105.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,1.0841
RV-6E-79,Nabtesco,cycloidal,79.0,2,58.0,145.0,2.5,85,105.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,0.7342
RV-6E-103,Nabtesco,cycloidal,103.0,2,58.0,145.0,2.5,85,105.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,0.5631
RV-20E-57,Nabtesco,cycloidal,57.0,2,167.0,417.5,4.7,145,138.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,2.9298
RV-20E-81,Nabtesco,cycloidal,81.0,2,167.0,417.5,4.7,145,138.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,2.0617
RV-20E-105,Nabtesco,cycloidal,105.0,2,167.0,417.5,4.7,145,138.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,1.5905
RV-40E-57,Nabtesco,cycloidal,57.0,2,412.0,1030.0,9.3,190,160.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,7.2281
RV-40E-81,Nabtesco,cycloidal,81.0,2,412.0,1030.0,9.3,190,160.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,5.0864
RV-40E-105,Nabtesco,cycloidal,105.0,2,412.0,1030.0,9.3,190,160.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,3.9238
RV-80E-57,Nabtesco,cycloidal,57.0,2,784.0,1960.0,13.1,222,180.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,13.7544
RV-80E-81,Nabtesco,cycloidal,81.0,2,784.0,1960.0,13.1,222,180.0,,,Nabtesco RV-E catalog; mass per frame; peak≈accel allowance ~2.5× rated; 2-stage cycloid,9.679
