Name,Source,Type,DOF,Payload_kg,Reach_m,Weight_kg,Body_Mass_kg,Mass_Flag,Notes
Child,anthropometry,human,,0.5,0.52,1.5,,estimate,"~8-10yo; full-reach continuous hold; arm mass ~5% body; reach shoulder→fingertip"
Woman,anthropometry,human,,1.5,0.68,3.2,,estimate,"adult female; full-reach continuous; arm mass from de Leva-style segment share"
Man,anthropometry,human,,2.0,0.75,4.0,,estimate,"adult male; full-reach continuous; arm mass ~5% of ~80 kg body"
Strong,anthropometry,human,,4.5,0.82,6.5,,estimate,"large muscular adult outlier; full-reach continuous estimate"
G1,Unitree,humanoid,5,2.0,0.45,1.75,35,estimate,"official arm load ~2 kg / arm span ~0.45 m; arm mass ≈5% of 35 kg body"
G1 EDU,Unitree,humanoid,5,3.0,0.45,1.75,35,estimate,"official arm load ~3 kg / arm span ~0.45 m; arm mass ≈5% of 35 kg body"
R1,Unitree,humanoid,5,2.0,0.42,1.45,29,estimate,"official arm load ~2 kg; forearm+upper ~0.42 m; arm mass ≈5% of ~29 kg body"
GR-1,Fourier,humanoid,7,3.0,0.83,2.75,55,estimate,"official one-hand ~3 kg; arm span ~1.66 m → ~0.83 m/arm; arm mass ≈5% of ~55 kg body"
Optimus Gen2,Tesla,humanoid,,10.0,0.76,4.56,57,estimate,"pixel est. from Teslarati Gen2 photo (shoulder→fingertip / stature); H≈1.73 m; published carry 20 kg ÷2 for per-arm; arm mass ≈8% of 57 kg body"
Figure 02,Figure,humanoid,,10.0,0.69,4.80,60,estimate,"pixel est. from BMW Spartanburg press photo; H≈1.68 m; published payload ~20 kg ÷2 for per-arm; arm mass ≈8% of 60 kg body"
Apollo,Apptronik,humanoid,,12.5,0.78,5.84,73,estimate,"pixel est. from Apptronik full-body photo; H≈1.73 m; published lift 25 kg ÷2 for per-arm; arm mass ≈8% of 73 kg body"
Digit,Agility,humanoid,4,8.0,0.70,5.20,65,estimate,"pixel est. from Agility studio photo + foreshortening/mid-thigh cross-check; H≈1.75 m; payload 16 kg ÷2 for per-arm; arm mass ≈8% of 65 kg body"
Atlas,Boston Dynamics,humanoid,,15.0,0.85,7.20,90,estimate,"arm reach ≈0.44×1.90 m stature (commercial Atlas); BD workspace reach 2.3 m; sustained capacity 30 kg ÷2 for per-arm; arm mass ≈8% of 90 kg body"
