Name,MFG,Type,DOF,Payload_kg,Reach_m,Weight_kg,Repeatability_mm,Cost_KUSD,Notes
xArm 5,uFactory,collaborative,5,3,0.70,11.2,0.1,5.3,
xArm 6,uFactory,collaborative,6,5,0.70,12.2,0.1,8.4,
xArm 7,uFactory,collaborative,7,3.5,0.70,13.7,0.1,10,
Lite 6,uFactory,collaborative,6,1,0.440,,,3,
IRB14000 YUMI,ABB,collaborative,7,0.5,0.559,9.6,0.02,18,updated price based on alibaba listing
Gofa,ABB,collaborative,6,5,0.95,27,0.05,25,cost is estimate based on article saying 25-35k
Swifti,ABB,collaborative,6,4,0.58,21,0.01,35,cost is estimate based on article saying 25-35k
OUR-1,AUBO,collaborative,6,5,0.85,15,0.05,,
I5,AUBO,collaborative,7,5,0.88,24,0.05,18,
Eva,Automata,collaborative,6,1.25,0.6,8,0.5,7,cost is 4990 british pounds
Eva-0,Automata,collaborative,6,0.75,0.8,2.3,1,3,length is estimate (seems like prototype of later Eva)
Racer 5.6,Comau,collaborative,6,5,0.63,30,0.03,,
Racer 5.8,Comau,collaborative,6,5,0.8,32,0.03,,
Racer 3,Comau,collaborative,6,3,0.63,30,0.02,,
Aura,Comau,collaborative,6,110,2.21,685,0.07,80,
Cobotta,Denso,collaborative,6,0.5,0.3425,4,0.05,,
S-5,Elephant Robotics,collaborative,6,5,0.81,21,0.05,10,
Panda 3,Elephant Robotics,collaborative,6,3,0.55,17,0.05,,
Panda 5,Elephant Robotics,collaborative,6,5,0.85,24.5,0.05,,
Catbot,Elephant Robotics,collaborative,6,3,0.6,18,0.05,,
Elephant 5,Elephant Robotics,collaborative,6,5,0.81,23.0,0.05,,
myCobot Pro 600,Elephant Robotics,collaborative,6,2,0.60,8.80,0.50,6.999,
myCobot-320,Elephant Robotics,collaborative,6,1,0.35,3.336,0.50,2.499,
Amor,Exact Dynamics,collaborative,7,2.5,0.95,9,,39.6,35k euro from website
CR-35iA,FANUC,collaborative,6,35,1.813,990,0.08,,
CR-4iA,FANUC,collaborative,6,4,0.55,48,0.02,45.7,
CR-7iA,FANUC,collaborative,6,7,0.717,53,0.02,48,
CR-7iA/L,FANUC,collaborative,6,7,0.711,55,0.03,48,
CR-14iA/L,FANUC,collaborative,6,14,0.911,55,0.01,,
CR-15iA,FANUC,collaborative,6,15,1.441,255,0.02,,
CRX-10iA,FANUC,collaborative,6,10,1.24,,,,
CRX-10iA/L,FANUC,collaborative,6,10,1.42,40,0.04,44.64,standard bots website
P-Rob 2R-24,FP Robotics,collaborative,6,3,0.775,20,0.1,27.5,
P-Rob 2R-48,FP Robotics,collaborative,6,3,0.775,20,0.1,,
Emika,Franka,collaborative,7,3,0.859,18.5,0.1,12.1,10.5k eruos listed elsewhere
Dexter,Haddington Dynamics,collaborative,6,1,0.67,6,0.05,4.8,
Elfin 3,Han's Robot,collaborative,6,3,0.59,15,0.1,,
Elfin 5,Han's Robot,collaborative,6,5,0.8,21,0.1,25,
Elfin 10,Han's Robot,collaborative,6,10,1,45,0.1,,
HCR-3,Hanwha,collaborative,6,3,0.63,13,0.1,,
HCR-5,Hanwha,collaborative,6,5,0.915,20,0.1,33.5,
HCR-12,Hanwha,collaborative,6,12,1.3,52,0.1,,
Nextage,Kawada,collaborative,15,1.5,0.577,29,0.03,60,29kg might be whole robot 60k for whole robot
