Name,MFG,Type,Rated_Torque_Nm,Peak_Torque_Nm,Weight_kg,OD_mm,Length_mm,Rated_Speed_rpm,Gear_Ratio,Voltage_V,Encoder,Brake,Integrated_Driver,Cost_USD,Cost_Flag,Notes
DM-J4310-2EC V1.1,Damiao,qdd,3,7,0.3,57,46,120,10,24,dual magnetic,no,yes,116,listed,Foxtech listing; 48V version available; CAN/CAN-FD MIT mode
DM-J4340-2EC,Damiao,planetary,9,27,0.362,57,53.3,36,40,24,dual magnetic,no,yes,155,listed,Seeed/Damiao wiki; 40:1 so not really QDD; 48V version available; AIFITLAB from $155
DM-J4340P-2EC,Damiao,planetary,9,27,0.375,57,56.5,36,40,24,dual magnetic,no,yes,175,estimate,Crossed-roller output bearing variant of J4340; Cost_USD estimate: crossed-roller J4340; AIFITLAB J4340 $155 plus ~15%
DM-J6006-2EC,Damiao,qdd,4,12,0.335,76,36.5,150,6,24,dual 14bit,no,yes,150,listed,AIFITLAB listing; 24-48V
DM-J8006-2EC V1.1,Damiao,qdd,8,20,0.559,96,40,120,6,24,dual 14bit,no,yes,214,listed,Foxtech listing; 24-48V
DM-J8009-2EC,Damiao,qdd,20,40,0.896,98,61.7,100,9,24,dual 14bit,no,yes,385,listed,Foxtech listing; 200 rpm rated at 48V
DM-J10010L-2EC,Damiao,qdd,40,120,1.372,120,53,100,10,48,dual 14bit,no,yes,230,listed,AIFITLAB listing; 70 rpm rated at 24V
DM-J10010-2EC,Damiao,qdd,40,150,1.485,120,,100,10,48,dual 14bit,no,yes,357,listed,Alibaba/Foxtech sample price; peak 150 Nm from reseller listings
RobStride 05,RobStride,qdd,1.6,5.5,0.191,46,44,,7.75,48,dual 14bit,no,yes,110,listed,OpenELAB comparison table; 46x46x44 mm; RobStride official $110; Seeed $110
RobStride 00,RobStride,qdd,5,14,0.31,57,51,,10,48,dual 14bit,no,yes,139,listed,Seeed Studio; official site $125; 57x57x51 mm
RobStride 01,RobStride,qdd,6,17,0.38,78.5,45.5,,7.75,36,single,no,yes,130,listed,OpenELAB comparison; same envelope as RS-02 without dual encoder; RobStride official $130
RobStride 02,RobStride,qdd,6,17,0.405,78.5,45.5,360,7.75,48,dual 14bit,no,yes,145,listed,OpenELAB; IP52 standard IP67 option; 78.5x78.5x45.5 mm
RobStride 06,RobStride,qdd,11,36,0.621,88,49,,9,48,dual 14bit,no,yes,210,listed,OpenELAB comparison; 88x88x49 mm; RobStride official $210; Seeed $210
RobStride 03,RobStride,qdd,20,60,0.88,106,56,100,9,48,dual 14bit,no,yes,250,listed,Seeed $249.99; 106x106x56 mm; 380 W class
RobStride 04,RobStride,qdd,40,120,1.42,120,56,50,9,48,dual 14bit,no,yes,255,listed,Seeed/AIFITLAB; 120x120x56 mm; 700 W class; IP52
AK60-6 V3.0 KV80,CubeMars,qdd,3,9,0.38,79,43,233,6,24,single 21bit,no,yes,230,listed,CubeMars catalog; 24/48V; rated speed 490 rpm at 48V; Robotopian ~$280
AK70-10 KV100,CubeMars,qdd,8.3,24.8,0.521,89,50.25,148,10,24,single 14bit,no,yes,455,listed,CubeMars catalog; 24/48V; some tables list 621 g; Robotopian listing
AK70-9 V3.0 KV60,CubeMars,qdd,8.5,29.2,0.54,89,49,260,9,48,dual,no,yes,450,listed,CubeMars list ~$399-499; dual encoder crossed-roller
AK80-6 KV100,CubeMars,qdd,6,12,0.485,98,38.5,603,6,48,single,no,yes,720,listed,CubeMars comparison table; OpenELAB ~EUR 660
AK80-8 KV60,CubeMars,qdd,10,25,0.57,98,43.9,243,8,48,dual 15bit out,no,yes,520,listed,CubeMars list ~$470-570
AK80-9 V3.0 KV100,CubeMars,qdd,9,22,0.49,98,38.5,390,9,48,single 16bit,no,yes,480,listed,CubeMars list ~$480-580; Robotopian $370
AK80-64 KV80,CubeMars,planetary,48,120,0.85,98,61.9,23,64,24,single,no,yes,940,listed,CubeMars list ~$890-990; high-ratio so not QDD; 48 rpm rated at 48V
AK10-9 V3.0 KV60,CubeMars,qdd,18,53,0.94,98,61.7,235,9,48,dual 21/15bit,no,yes,750,listed,CubeMars list ~$699-799
AKA60-6 KV80,CubeMars,qdd,3,9,0.46,80,51.2,200,6,24,single,no,yes,415,listed,CubeMars AKA series comparison table; EU listing ~EUR 383
AKA10-9 KV60,CubeMars,qdd,18,53,1.06,100,70,109,9,48,single,no,yes,799,listed,CubeMars AKA series comparison table; CubeMars store $798.90
RMD-X4-3,MyActuator,qdd,1.5,3,0.3,,,200,6,24,single 16bit,optional,yes,150,estimate,MyActuator RMD-X V2 catalog; Cost_USD estimate: below RMD-X6-7 $230; small 3 Nm QDD
RMD-X6-7,MyActuator,qdd,3.5,7,0.35,,,400,6,48,single 16bit,optional,yes,230,listed,MyActuator RMD-X V2 catalog; V2 1:6; AIFITLAB $230
RMD-X6-8,MyActuator,qdd,4.5,8,0.49,,,310,8,48,dual 16/14bit,optional,yes,355,listed,MyActuator RMD-X V3 catalog; AIFITLAB $355
RMD-X6-40,MyActuator,planetary,18,40,0.59,,,90,36,48,single 16bit,optional,yes,480,estimate,MyActuator RMD-X V2 catalog; 36:1; Cost_USD estimate: AIFITLAB RMD-X6-60 from $490 analog
RMD-X8-25,MyActuator,qdd,10,25,0.71,,,110,9,48,single 16bit,optional,yes,580,listed,MyActuator RMD-X V2 catalog; street prices often $450-695
RMD-X8-20,MyActuator,qdd,10,20,0.78,,,190,6,48,dual 16/14bit,optional,yes,419,listed,MyActuator RMD-X V3 Pro-H catalog; RCDrone $419
RMD-X8-60,MyActuator,planetary,30,60,0.9,,,40,36,48,dual 16/14bit,optional,yes,720,estimate,MyActuator RMD-X V3 catalog; 36:1; Cost_USD estimate: above RMD-X8-25 $580; high-ratio planetary
RMD-X10-40,MyActuator,qdd,15,40,1.15,,,165,7,48,dual 16/14bit,optional,yes,625,listed,MyActuator RMD-X V3 catalog; AIFITLAB $625
RMD-X10-100,MyActuator,planetary,50,100,1.7,,,50,35,48,dual 16/14bit,optional,yes,850,estimate,MyActuator RMD-X V3 catalog; 35:1; Cost_USD estimate: above RMD-X10-40 $625; 35:1 planetary
GO-M8010-6,Unitree,qdd,,23.7,0.53,96.5,42.3,287,6.33,24,single 15bit,no,yes,369,listed,Unitree shop; max speed 30 rad/s at 24V; size 96.5x92.5x42.3 mm; RS-485
M107,Unitree,qdd,,360,1.9,107,74,,,48,dual,no,yes,1200,estimate,H1/H1-2 knee module; 189 Nm/kg peak density from Unitree H1 brochure; not typically sold separately; Cost_USD estimate: Unitree H1 knee module; not sold retail; torque vs GO-M8010
qdd100 beta 3,mjbots,qdd,3.3,16,0.507,100,44,,6,24,moteus abs,no,yes,879,listed,mjbots.com; indefinite 3.3 Nm / 16 Nm peak <1s; CAN-FD; 10-44V
T5-1,HEBI,series-elastic,1.3,2.5,0.45,110,,90,272,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet; shop lists T-Series at $3000; Ethernet; 24-48V
T5-4,HEBI,series-elastic,4,7,0.45,110,,32,762,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet
T5-9,HEBI,series-elastic,8,13,0.45,110,,14,1742,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet
T8-3+,HEBI,series-elastic,4,8,0.575,110,,110,272,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet (T+); 24-48V
T8-9+,HEBI,series-elastic,10,23,0.575,110,,39,762,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet (T+)
T8-16+,HEBI,series-elastic,20,44,0.575,110,,20,1462,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet (T+)
T25-8,HEBI,series-elastic,8,16,1.5,,,118,254,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet; 36-48V
T25-20,HEBI,series-elastic,20,40,1.5,,,47,639,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet
T25-40,HEBI,series-elastic,40,80,1.5,,,23,1301,36,abs+torque,no,yes,3000,listed,HEBI T-Series datasheet
X5-1,HEBI,series-elastic,1.3,2.5,0.33,110,31,90,272,36,abs+torque,no,yes,4300,listed,Legacy X-Series datasheet; MYBOTSHOP from ~€3946; 110x73x31 mm 15 mm bore
X5-4,HEBI,series-elastic,4,7,0.345,110,31,32,762,36,abs+torque,no,yes,4300,listed,Legacy X-Series; cost converted from EUR listing
X5-9,HEBI,series-elastic,8,13,0.36,110,31,14,1742,36,abs+torque,no,yes,4300,listed,Legacy X-Series
X8-3,HEBI,series-elastic,3,7,0.455,110,45,84,272,36,abs+torque,no,yes,5000,listed,Legacy X-Series; MYBOTSHOP +€650 vs X5
X8-9,HEBI,series-elastic,8,20,0.475,110,45,30,762,36,abs+torque,no,yes,5000,listed,Legacy X-Series
X8-16,HEBI,series-elastic,16,38,0.49,110,45,15,1462,36,abs+torque,no,yes,5000,listed,Legacy X-Series
R8-3+,HEBI,series-elastic,4,8,0.67,,,110,272,36,abs+torque,no,yes,4500,listed,HEBI R-Series IP67 datasheet; HEBI shop R-Series $4500 all sizes
R8-9+,HEBI,series-elastic,10,23,0.685,,,39,762,36,abs+torque,no,yes,4500,listed,HEBI R-Series IP67 datasheet; HEBI shop R-Series $4500 all sizes
R8-16+,HEBI,series-elastic,20,44,0.715,,,20,1462,36,abs+torque,no,yes,4500,listed,HEBI R-Series IP67 datasheet; HEBI shop R-Series $4500 all sizes
R25-8,HEBI,series-elastic,8,16,1.9,,,118,254,36,abs+torque,no,yes,4500,listed,HEBI R-Series IP67 datasheet; HEBI shop R-Series $4500 all sizes
R25-20,HEBI,series-elastic,20,40,1.9,,,47,639,36,abs+torque,no,yes,4500,listed,HEBI R-Series IP67 datasheet; HEBI shop R-Series $4500 all sizes
R25-40,HEBI,series-elastic,40,80,1.9,,,23,1301,36,abs+torque,no,yes,4500,listed,HEBI R-Series IP67 datasheet; HEBI shop R-Series $4500 all sizes
XL430-W250-T,ROBOTIS,hobby-servo,,1.5,0.0572,28.5,46.5,61,258.5,12,12bit abs,no,yes,50,listed,Peak is stall at 12V; plastic gears; robotis.us historically ~$28-50
XM430-W210-T,ROBOTIS,hobby-servo,,3,0.082,28.5,46.5,77,212.6,12,12bit abs,no,yes,310,listed,Peak is stall at 12V; metal gears; robotis.us $310.39
XM430-W350-T,ROBOTIS,hobby-servo,,4.1,0.082,28.5,46.5,46,353.5,12,12bit abs,no,yes,310,listed,Peak is stall at 12V; robotis.us $310.39
XM540-W150-T,ROBOTIS,hobby-servo,,7.3,0.165,33.5,58.5,53,152.3,12,12bit abs,no,yes,494,listed,Peak is stall at 12V; robotis.us ~$494
XM540-W270-T,ROBOTIS,hobby-servo,,10.6,0.165,33.5,58.5,30,272.5,12,12bit abs,no,yes,483,listed,Peak is stall at 12V; robotis.us $482.89
XH430-W350-T,ROBOTIS,hobby-servo,,3.4,0.082,28.5,46.5,30,353.5,12,12bit abs,no,yes,414,listed,Peak is stall at 12V; Maxon coreless; robotis.us $413.89
XH540-W270-T,ROBOTIS,hobby-servo,,9.9,0.165,33.5,58.5,39,272.5,12,12bit abs,no,yes,621,listed,Peak is stall at 12V; robotis.us $620.89; Maxon coreless
XH540-V270-R,ROBOTIS,hobby-servo,,9.2,0.165,33.5,58.5,34,272.5,24,12bit abs,no,yes,650,estimate,Peak is stall at 24V; Cost_USD estimate: near XH540-W270-T $621; 24V RS-485 twin
